iter	Passed	Remaining
0	123	123766
1	125	62634
2	126	41998
3	127	31645
4	127	25448
5	128	21326
6	129	18375
7	130	16154
8	132	14565
9	133	13176
10	133	12035
11	134	11088
12	135	10281
13	136	9599
14	137	9006
15	137	8484
16	140	8100
17	141	7692
18	141	7329
19	142	6999
20	143	6698
21	144	6422
22	145	6172
23	146	5960
24	147	5754
25	148	5561
26	149	5379
27	150	5214
28	151	5059
29	151	4913
30	153	4790
31	154	4677
32	155	4568
33	156	4460
34	158	4356
35	158	4255
36	159	4158
37	161	4078
38	162	3993
39	162	3909
40	163	3829
41	164	3754
42	165	3683
43	166	3619
44	167	3556
45	168	3502
46	169	3442
47	170	3383
48	171	3327
49	172	3272
50	173	3220
51	173	3169
52	174	3121
53	175	3078
54	176	3036
55	177	2993
56	178	2950
57	179	2909
58	179	2870
59	180	2833
60	181	2798
61	184	2789
62	185	2756
63	186	2725
64	187	2692
65	188	2660
66	188	2629
67	189	2600
68	190	2576
69	191	2549
70	192	2521
71	193	2493
72	194	2468
73	195	2445
74	196	2421
75	197	2397
76	198	2377
77	199	2355
78	200	2333
79	200	2310
80	201	2289
81	202	2267
82	202	2242
83	203	2221
84	204	2202
85	205	2187
86	206	2170
87	207	2152
88	208	2135
89	209	2117
90	210	2100
91	211	2082
92	211	2066
93	213	2054
94	214	2039
95	214	2023
96	215	2008
97	216	1992
98	217	1978
99	218	1963
100	218	1949
101	220	1938
102	221	1925
103	221	1912
104	222	1899
105	223	1887
106	224	1874
107	225	1862
108	226	1849
109	227	1840
110	228	1829
111	229	1817
112	230	1806
113	230	1795
114	231	1783
115	232	1772
116	233	1760
117	234	1750
118	235	1742
119	236	1732
120	237	1723
121	237	1712
122	238	1702
123	239	1693
124	240	1683
125	241	1674
126	242	1666
127	243	1659
128	244	1651
129	245	1642
130	246	1633
131	247	1625
132	248	1617
133	249	1610
134	250	1603
135	251	1595
136	251	1587
137	252	1579
138	253	1571
139	254	1563
140	255	1555
141	255	1545
142	256	1538
143	257	1531
144	258	1524
145	259	1516
